tweet_id,tweet_text
1,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......"
2,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......"
3,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......"
4,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......"
5,"RT @TimesNow: Who do you (Kerala voters) think is the most suitable candidate for the post of PM of India?
•Narendra Modi: 31.95%
•Rahul Ga…"
6,RT @kirthurgan: Narendra Modi  Prime Minister     : India’s Temple Elephant’s Desperately in Need of Help - Sign the Petition! https://t.co…
7,@narendramodi The entire world now sees Modi ji as a representative of God who was born and brought up in India to… https://t.co/1XLszRxz0V
8,"RT @Azim80431333: #BeediLivelihoodsMatter @narendramodi @PMOIndia #BeediLivelihoodsMatter 
@narendramodi @PMOIndia 
Shri Hon'ble Narendra M…"
9,"RT @DrAVSriv: 1. Who do you (Kerala voters) think is the most suitable candidate for the post of PM of India?

•Narendra Modi: 31.95%
•Rahu…"
10,"RT @Arvindgmt: Today, on the occasion of Women's Day, the Prime Minister, Shri Narendra Modi bought products from various women Self Help G…"
11,RT @ashokgehlot51: Attended the meeting of the National Committee for commemoration of 75th Anniversary of India's Independence under chair…
12,RT @kirthurgan: Narendra Modi  Prime Minister     : India’s Temple Elephant’s Desperately in Need of Help - Sign the Petition! https://t.co…
13,"RT @MdMostakimHoqu1: #BeediLivelihoodsMatter 
@narendramodi @PMOIndia 
Shri Hon'ble Narendra Modi Saheb  I requested to repeal the quota la…"
14,"RT @ArunSharma_Says: Dr Manmohan Singh was a STRONGER Prime Minister than Narendra Modi!

RT if you agree ......"
15,"RT @SalmanSoz: Even in a state where people prefer Rahul Gandhi to Narendra Modi for the post of Prime Minister, Godi Media can't help but…"
16,"RT @Reuters: Faced with the protests, Prime Minister Narendra Modi’s government offered to suspend the laws for 18 months, but the farmers…"
