tweet_id,processed_tweet
1,always counting others atmanirbhar stopprivatisation indian express pm modi calls stepping
2,bengal demonstrated love affection pm narendra modi modirsathebrigade
3,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
4,narendra modis best contribution india hours sleeps everyday
5,narendra modi bengal amit shah tn himanta biswa assam demeaning leaders people say
6,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
7,narendra modis best contribution india hours sleeps everyday
8,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
9,former president editors guild shekhar gupta tensed angry congress losing muslim vote
10,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
11,next years important development foundation laid assembly election says prime
12,narendra modis best contribution india hours sleeps everyday
13,today special days west bengal pm narendra modi ji address bengali people bridge
14,take look complete schedule ipl2021 website read
15,bcci announces schedule vivo ipl season kickstart april chennai final take place
16,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
17,pm narendra modi begins address public rally kolkatas brigade parade ground
18,dreamt something big life never dreamt platform big leaders leader
19,prime minister narendra modi time go kolkata votes time talk farmers sitting borders
20,known didi since ages person raised voice left speaks someone elses
21,prime minister narendra modi time go kolkata votes time talk farmers sitting borders
22,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
23,shameless thy name narendra modi
24,breaking ipl2021 start april chennai final take place may narendra modi
25,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
26,growing years father would take clinic sick doctor would give red
27,narendra modi bengal amit shah tn himanta biswa assam demeaning leaders people say
28,imran saying pakistan needs powerful military india powerful government seen years
29,narendra modis best contribution india hours sleeps everyday
30,got one chance spend one day one living person world choose narendra
31,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
32,narendra modis best contribution india hours sleeps everyday
33,today special days west bengal pm narendra modi ji address bengali people bridge
34,mithun chakraborty called pure cobra narendra modis rally brigade parade grounds future
35,remember pm shri narendra modi said parikshapecharcha children things bring
36,indian government blasts u.s think tank calls country partly free
37,march tuesday pm modi noon prime minister narendra modi inaugurate india
38,welcome bengal honble pm sh narendra modi ji good luck bengal modirsathebrigade
39,prime minister narendra modi time go kolkata votes time talk farmers sitting borders
40,pm narendra modi time rally kolkata protesting farmers says
41,narendra modis brigade rally political rally crowd anymore looks like kumbh mela
42,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
43,jan aushadhi day2021 honorable prime minister narendra bhai modi ji video conferencing diu aushadhi
44,march tuesday pm modi pm prime minister narendra modi release volumes manuscript
45,shyama prasad mukherjee smiles bjp means narendra modi makes clear
46,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
47,pm narendra modi begins address public rally kolkatas brigade parade ground
48,difficult impossible narendra modi govt reclaim trust ocis latest
49,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
