tweet_id,processed_tweet
1,entire world sees modi ji representative god born brought india
2,beedilivelihoodsmatter beedilivelihoodsmatter shri honble narendra
3,kerala voters think suitable candidate post pm india modi
4,today occasion womens day prime minister shri narendra modi bought products various women self help
5,attended meeting national committee commemoration anniversary indias independence
6,narendra modi prime minister temple desperately need help sign petition
7,beedilivelihoodsmatter shri honble narendra modi saheb requested repeal quota
8,dr manmohan singh stronger prime minister narendra modi agree
9,even state people prefer rahul gandhi narendra modi post prime minister godi media cant help
10,faced protests prime minister narendra government offered suspend laws months
11,dr manmohan singh stronger prime minister narendra modi agree
12,today occasion day prime minister shri narendra modi ji bought products various women
13,anyone atheistwho values rule law democracy freedom group identity
14,today occasion womens day prime minister shri narendra modi bought products various women self help
15,smita prakash brilliant modi p.m elected political process known
16,anyone atheistwho values rule law democracy freedom group identity
17,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
18,kerala voters think suitable candidate post pm india modi
19,scores rohingya fled persecution myanmar held detention centre india hindunationalist
20,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
21,dr manmohan singh stronger prime minister narendra modi agree
22,dr manmohan singh stronger prime minister narendra modi agree
23,dr manmohan singh stronger prime minister narendra modi agree
24,womens day lets forget indias bravest journalist gauri lankesh shot door steps
25,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
26,dr manmohan singh stronger prime minister narendra modi agree
27,dr manmohan singh stronger prime minister narendra modi agree
28,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
29,bcci announces schedule vivo ipl season kickstart april chennai final take place
30,dr manmohan singh stronger prime minister narendra modi agree
31,narendra modi bengal amit shah tn himanta biswa assam demeaning leaders people say
32,faced protests prime minister narendra government offered suspend laws months
33,dr manmohan singh stronger prime minister narendra modi agree
34,mallus become laughing stock choosing rahul gandhi narendra modi icon laughing stock rest
35,prime minister narendra modi release volumes manuscript commentaries scholars shlokas bhagavad
36,kerala voters think suitable candidate post pm india modi
37,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
38,dr manmohan singh stronger prime minister narendra modi agree
39,narendra modi bengal amit shah tn himanta biswa assam demeaning leaders people say
40,faced protests prime minister narendra government offered suspend laws months
41,dr manmohan singh stronger prime minister narendra modi agree
42,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi westbengal
43,dr manmohan singh stronger prime minister narendra modi agree
44,dr manmohan singh stronger prime minister narendra modi agree
45,leftrightcentre debjani bhattacharya columnist warofwords prime minister narendra modi
46,dr manmohan singh stronger prime minister narendra modi agree
47,dr manmohan singh stronger prime minister narendra modi agree
48,dr manmohan singh stronger prime minister narendra modi agree
49,internationalwomensday pm buys tribal art painting support nari shakti read
50,today occasion womens day prime minister shri narendra modi bought products various women self help
51,attended meeting national committee commemoration anniversary indias independence
52,today occasion womens day prime minister shri narendra modi bought products various women self help
53,good fall woman cm rides scooter protest
54,dont say clearly modis followers fake fake perception break like castle
55,dr manmohan singh stronger prime minister narendra modi agree
56,shah narendra modi two syndicate ministers come bengal lie respect chair
57,kerala voters think suitable candidate post pm india modi
58,know se blames bureaucracy shortcomings inefficiencies prime minister
59,leftrightcentre dinesh trivedi bjp leader unparliamentary language used westbengal chief minister mamata
60,foundation amaravati laid per hindu rituals narendra modi ji pandits chanting vedas
61,today occasion womens day prime minister shri narendra modi bought products various women self help
62,beedilivelihoodsmatter shri honble narendra modi saheb requested repeal quota
63,high time pm narendra modi intervene states like mp instead preaching sermons women
64,faced protests prime minister narendra government offered suspend laws months
65,proved power stong independent woman true inspiration independent woman male
66,faced protests prime minister narendra government offered suspend laws months
67,today occasion womens day prime minister shri narendra modi bought products various women self help
68,dr manmohan singh stronger prime minister narendra modi agree
69,dr manmohan singh stronger prime minister narendra modi agree
70,internationalwomensday pm buys tribal art painting support nari shakti read
71,kerala voters think suitable candidate post pm india modi
72,dr manmohan singh stronger prime minister narendra modi agree
73,dr manmohan singh stronger prime minister narendra modi agree
74,pm shri narendra modi buys classic palm craft nilavilakku made women based kerala buy
75,often seen pm shri narendra modi wearing gamusa extremely comfortable today pm bought
76,pm shri narendra modi going use handmade jute file folder west bengal made tribal communities
77,khadi closely associated mahatma gandhi rich history pm shri narendra modi bought khadi cotton
78,poor show strength brigade parade ground proves bjps party members state bother
79,high time pm narendra modi intervene states like mp instead preaching sermons women
80,faced protests prime minister narendra government offered suspend laws months
81,dr manmohan singh stronger prime minister narendra modi agree
82,india proud naga culture synonymous bravery compassion creativity pm shri narendra modi purchased
83,dr manmohan singh stronger prime minister narendra modi agree
84,dr manmohan singh stronger prime minister narendra modi agree
85,faced protests prime minister narendra government offered suspend laws months
86,dr manmohan singh stronger prime minister narendra modi agree
87,pm shri narendra modi bought handcrafted gond paper painting today merges colours creativity art
88,dr manmohan singh stronger prime minister narendra modi agree
89,people watched see new narendra modi stadium
90,dr manmohan singh stronger prime minister narendra modi agree
91,recall years ago ruled british narendra modi compared
92,high time pm narendra modi intervene states like mp instead preaching sermons women
93,namos party steals photographs brigade rally cover flop show
94,pm narendra modi lauds mangalurubased cardiologist selfless service
95,dr manmohan singh stronger prime minister narendra modi agree
96,pm shri narendra modi purchased exquisite hand embroidered shawl made artisans toda tribe tamil nadu
97,high time pm narendra modi intervene states like mp instead preaching sermons women
98,women playing leading role quest become aatmanirbhar international day let us commit
99,indias illiberal slide steady swift prime minister narendra modi bjp government
100,narendra modis best contribution india hours sleeps everyday
