tweet_id,tweet_text,polarity
49,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
50,"RT @vinayak_jain: Narendra Modi in Bengal. Amit Shah in TN. Himanta Biswa in Assam.

It is demeaning to such leaders when people say ‘BJP w…",neutral
51,"RT @vinayak_jain: Narendra Modi is the greatest unifier in India today. No leader, whether in the BJP or outside comes even inches close to…",negative
52,"RT @IPL: 🚨  BCCI announces schedule for VIVO IPL 2021 🚨

The season will kickstart on 9th April in Chennai and the final will take place on…",neutral
53,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
54,"RT @ReportTweet_: Narendra Modi is calling for Asol Poriborton in West Bengal.

Meanwhile, A BJP worker was killed and several injured whil…",negative
55,"RT @PNPathakBJP: After historical Brigade Maidan Rally of PM @narendramodi Shri Narendra Modi Ji’s Election Campaign in Kolkata, campaignin…",positive
56,"RT @zainabsikander: Mithun Chakraborty just called himself a ""pure cobra"" at Narendra Modi's Rally in Brigade Parade Grounds.
our future le…",positive
57,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
58,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
59,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
60,"RT @vinayak_jain: Narendra Modi in Bengal. Amit Shah in TN. Himanta Biswa in Assam.

It is demeaning to such leaders when people say ‘BJP w…",neutral
61,"RT @AparBharat: Both Thackeray brothers have several plush &amp; lavish farm houses across Maharashtra.

I challenge Thackeray fan boys to show…",positive
62,"RT @salimdotcomrade: During 2016 elections, Narendra Modi claimed ""politicians like Mukul Roy &amp; Suvendu Adhikari are not only corrupt but a…",negative
63,"RT @ndtv: #LeftRightCentre | ""Narendra Modi is not acting like a Prime Minister of India but like a quarrelsome local leader"": Saugata Roy,…",neutral
64,"Indian Prime Minister Narendra Modi must be slapped with sanctions, detention camps is so inhumane https://t.co/FbVDhvkdHC",positive
65,RT @Anuragkukreti7: Narendra Modi's best contribution to India are the 6 hours for which he sleeps everyday!,neutral
66,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
67,"RT @MumbaiMirror: PM Narendra Modi has time for rally in Kolkata but not for protesting farmers says @PawarSpeaks

https://t.co/J2rRgBOtbk",neutral
68,@shwetapriya_ Mine too.. @narendramodi twitter handle has not followed me too.. does not matter whether his handle… https://t.co/y9tma14oaV,neutral
69,RT @amaanbali: Prime Minister Narendra Modi has time to go to Kolkata for votes but has no time to talk to farmers sitting on borders of De…,positive
70,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
71,"RT @IPL: 🚨  BCCI announces schedule for VIVO IPL 2021 🚨

The season will kickstart on 9th April in Chennai and the final will take place on…",neutral
72,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
73,"March 09 | Tuesday | PM Modi

5 PM: Prime Minister Narendra Modi will release 11 Volumes of #Manuscript with commen… https://t.co/kwkdEuZryz",positive
74,"RT @vinayak_jain: Narendra Modi in Bengal. Amit Shah in TN. Himanta Biswa in Assam.

It is demeaning to such leaders when people say ‘BJP w…",neutral
75,RT @Anuragkukreti7: Narendra Modi's best contribution to India are the 6 hours for which he sleeps everyday!,neutral
76,@IPL @Vivo_India How many matches in Narendra Modi stadium .. There are multiple world class stadiums in India .. t… https://t.co/rTgSsheBwX,neutral
77,RT @PRupala: Bengal’s love and affection for PM Narendra Modi and exasperation to get rid of TMC government manifest in this gigantic gathe…,negative
78,"RT @IPL: 🚨  BCCI announces schedule for VIVO IPL 2021 🚨

The season will kickstart on 9th April in Chennai and the final will take place on…",neutral
79,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
80,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
81,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
82,"March 09| Tuesday | PM Modi

12 NOON: Prime Minister Narendra Modi will inaugurate ‘Maitri Setu’ between India and… https://t.co/bjIS2oSAXb",positive
83,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
84,"RT @MumbaiMirror: PM Narendra Modi has time for rally in Kolkata but not for protesting farmers says @PawarSpeaks

https://t.co/J2rRgBOtbk",neutral
85,"RT @eOrganiser: Next 25 Years Very Important for Bengal’s Development, Foundation to be Laid in This Assembly Election, Says Prime Minister…",neutral
86,RT @Anuragkukreti7: Narendra Modi's best contribution to India are the 6 hours for which he sleeps everyday!,neutral
87,"RT @yoursurajnaik: The real face of Narendra Modi !! 

During Unplanned LOCKDOWN by Modi many Migrant people died due to non available of T…",neutral
88,RT @Motabhaigujratw: Imran saying Pakistan needs powerful military because india has powerful government not seen in 73 years. What more to…,neutral
89,"RT @vinayak_jain: Narendra Modi in Bengal. Amit Shah in TN. Himanta Biswa in Assam.

It is demeaning to such leaders when people say ‘BJP w…",neutral
90,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
91,@airavatvolvo @cruelanu @RituRathaur @kanimozhi @DrlathaC @UshaNirmala @ChitraSundaram7 Shameless thy name Narendra Modi.,neutral
92,RT @Anuragkukreti7: Narendra Modi's best contribution to India are the 6 hours for which he sleeps everyday!,neutral
93,"RT @Elizatweetz: Narendra Modi who back in 2016, accused Mukul Roy and Suvendu Adhikari to be corrupt and a threat to India's future, is no…",neutral
94,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
95,RT @Rajbirrohilla: Bengal’s love and affection for PM Narendra Modi and exasperation to get rid of TMC government manifest in this gigantic…,negative
96,RT @gops33: Name one thing which has become cheaper after Narendra Modi  became Prime Minister ? .,positive
97,RT @ANI: Prime Minister Narendra Modi will release 11 volumes of the manuscript with commentaries by 21 scholars on shlokas of Bhagavad Git…,positive
98,RT @BrokenCricket: IPL 2021 Finals set to be played on 30th May at Narendra Modi Stadium Ahmadabad.,positive
99,"RT @MumbaiMirror: PM Narendra Modi has time for rally in Kolkata but not for protesting farmers says @PawarSpeaks

https://t.co/J2rRgBOtbk",neutral
100,RT @gops33: Name one thing which has become cheaper after Narendra Modi  became Prime Minister ? .,positive
